State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Semi D,485.0,49,770000.0
Perak,PERAK | IPOH,Mixed,Terrace House,202.0,49,199000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,379.0,48,559444.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,67.0,48,80000.0
Selangor,SELANGOR | PUCHONG,Freehold,Terrace House,620.0,48,1225000.0
Kuala Lumpur,KUALA LUMPUR | KEPONG,Mixed,Terrace House,445.0,48,667500.0
Selangor,SELANGOR | BANDAR KINRARA,Freehold,Terrace House,621.0,48,1415000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,146.0,48,197500.0
Johor,JOHOR | PASIR GUDANG,Leasehold,Terrace House,381.0,48,300000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Service Residence,386.0,48,360000.0
Johor,JOHOR | GERISEK,Freehold,Terrace House,100.0,47,165000.0
Perak,PERAK | IPOH,Leasehold,Terrace House,226.0,47,303800.0
Selangor,SELANGOR | IJOK,Leasehold,Terrace House,189.0,47,310000.0
Melaka,MELAKA | KRUBONG,Leasehold,Terrace House,223.0,47,290000.0
Johor,JOHOR | TEBRAU,Freehold,Cluster House,387.0,47,1000000.0
Negeri Sembilan,NEGERI SEMBILAN | TAMPIN,Freehold,Semi D,145.0,47,299473.0
Penang,PENANG | AYER ITAM,Freehold,Flat,243.0,47,170000.0
Negeri Sembilan,NEGERI SEMBILAN | BAHAU,Leasehold,Terrace House,192.0,46,249000.0
Kedah,KEDAH | PADANG SERAI,Freehold,Terrace House,208.0,46,270000.0
Johor,JOHOR | BATU PAHAT,Freehold,Terrace House,253.0,46,390000.0
Selangor,SELANGOR | PUCHONG,Freehold,Terrace House,454.0,46,600000.0
Selangor,SELANGOR | SUBANG JAYA,Freehold,Terrace House,482.0,46,765000.0
Johor,JOHOR | BATU PAHAT,Freehold,Terrace House,244.0,46,420000.0
Kedah,KEDAH | PADANG SERAI,Freehold,Terrace House,214.0,46,292500.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Service Residence,536.0,46,580000.0
Kuala Lumpur,KUALA LUMPUR | KLCC,Freehold,Service Residence,1827.0,46,1453150.0
Perak,PERAK | SITIAWAN,Leasehold,Semi D,279.0,45,329890.0
Perak,PERAK | IPOH,Leasehold,Terrace House,235.0,45,340194.0
Johor,JOHOR | KULAI,Freehold,Terrace House,273.0,45,330000.0
Selangor,SELANGOR | KAPAR,Freehold,Terrace House,254.0,45,358000.0
Johor,JOHOR | KOTA TINGGI,Freehold,Semi D,198.0,45,310000.0
Johor,JOHOR | SENAI,Freehold,Terrace House,110.0,45,170000.0
Negeri Sembilan,NEGERI SEMBILAN | LUKUT,Freehold,Terrace House,210.0,45,287850.0
Johor,JOHOR | SENAI,Freehold,Terrace House,446.0,45,480000.0
Penang,PENANG | AYER ITAM,Freehold,Flat,335.0,45,180000.0
Negeri Sembilan,NEGERI SEMBILAN | SEREMBAN,Freehold,Terrace House,272.0,44,380000.0
Selangor,SELANGOR | BATANG KALI,Freehold,Cluster House,208.0,44,232500.0
Johor,JOHOR | ULU TIRAM,Freehold,Terrace House,366.0,44,380000.0
Johor,JOHOR | KULAI,Freehold,Terrace House,346.0,43,520000.0
Perak,PERAK | SERI ISKANDAR,Leasehold,Semi D,175.0,43,250000.0
Selangor,SELANGOR | SEMENYIH,Freehold,Terrace House,445.0,43,781800.0
Pahang,PAHANG | KUANTAN,Freehold,Terrace House,158.0,43,185000.0
Selangor,SELANGOR | CHERAS,Freehold,Semi D,390.0,43,800000.0
Johor,JOHOR | PASIR GUDANG,Mixed,Terrace House,353.0,43,480000.0
Johor,JOHOR | TAMPOI,Freehold,Terrace House,291.0,43,480000.0
Selangor,SELANGOR | PUCHONG,Freehold,Terrace House,454.0,43,780000.0
Negeri Sembilan,NEGERI SEMBILAN | NILAI,Freehold,Terrace House,511.0,42,718000.0
Johor,JOHOR | SKUDAI,Freehold,Terrace House,387.0,42,325000.0
Selangor,SELANGOR | SUBANG JAYA,Freehold,Terrace House,513.0,42,900000.0
Penang,PENANG | SUNGAI JAWI,Freehold,Terrace House,224.0,42,260000.0
Negeri Sembilan,NEGERI SEMBILAN | RANTAU,Freehold,Terrace House,145.0,42,235789.0
Johor,JOHOR | TAMPOI,Freehold,Service Residence,485.0,42,391500.0
Kuala Lumpur,KUALA LUMPUR | JALAN KLANG LAMA (OLD KLANG ROAD),Freehold,Bungalow,519.0,41,923000.0
Johor,JOHOR | KLUANG,Freehold,Terrace House,107.0,41,150000.0
Melaka,MELAKA | BEMBAN,Freehold,Terrace House,337.0,41,497000.0
Perak,PERAK | IPOH,Leasehold,Terrace House,229.0,41,403000.0
Selangor,SELANGOR | SELAYANG,Freehold,Terrace House,56.0,41,310281.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,43.0,41,27049.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,151.0,41,200000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Terrace House,487.0,41,809662.0
Negeri Sembilan,NEGERI SEMBILAN | NILAI,Freehold,Terrace House,383.0,41,639888.0
Selangor,SELANGOR | KAPAR,Freehold,Terrace House,354.0,40,473000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,350.0,40,512650.0
Penang,PENANG | SIMPANG AMPAT,Freehold,Cluster House,314.0,40,880000.0
Selangor,SELANGOR | KLANG,Freehold,Cluster House,620.0,40,1449665.0
Johor,JOHOR | PENGERANG,Leasehold,Terrace House,375.0,40,525000.0
Perak,PERAK | SIMPANG PULAI,Mixed,Terrace House,288.0,40,448800.0
Selangor,SELANGOR | BATANG KALI,Leasehold,Terrace House,187.0,40,250000.0
Melaka,MELAKA | TANJONG MINYAK,Leasehold,Terrace House,181.0,39,260000.0
Perak,PERAK | IPOH,Mixed,Bungalow,171.0,39,425000.0
Perak,PERAK | BATU GAJAH,Leasehold,Terrace House,236.0,39,330880.0
Selangor,SELANGOR | SEPANG,Leasehold,Terrace House,463.0,39,555210.0
Perak,PERAK | SITIAWAN,Freehold,Terrace House,205.0,39,245000.0
Johor,JOHOR | KLUANG,Freehold,Semi D,110.0,39,199900.0
